epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,786,0.63816,0.39854,0.92275,0.93551,0.92172,0.95434,0.78402,0.7042,0.42109,0.92177,0.000326107,0.000326107,0.000326107
67,798.426,0.63373,0.3945,0.92335,0.95112,0.91764,0.955,0.7832,0.69437,0.41512,0.91562,0.000305478,0.000305478,0.000305478
68,810.156,0.62502,0.39168,0.91574,0.93529,0.92676,0.95701,0.78779,0.70417,0.40901,0.90876,0.000284849,0.000284849,0.000284849
69,821.477,0.62937,0.38622,0.91938,0.94553,0.92444,0.95314,0.7808,0.71648,0.41473,0.91996,0.00026422,0.00026422,0.00026422
70,833.102,0.62977,0.39269,0.92268,0.94639,0.91433,0.95107,0.77993,0.71152,0.42231,0.91931,0.00024359,0.00024359,0.00024359
71,849.642,0.59192,0.37593,0.90226,0.95419,0.90301,0.94698,0.77488,0.72727,0.46199,0.93221,0.000222961,0.000222961,0.000222961
72,860.873,0.58642,0.3627,0.90991,0.95415,0.90894,0.954,0.78604,0.69547,0.40648,0.91631,0.000202332,0.000202332,0.000202332
73,871.981,0.5844,0.35124,0.90102,0.94512,0.91968,0.95601,0.78097,0.73757,0.41448,0.93374,0.000181703,0.000181703,0.000181703
74,882.815,0.57301,0.34334,0.90121,0.94968,0.91743,0.95172,0.78011,0.72579,0.40471,0.92875,0.000161074,0.000161074,0.000161074
75,894.138,0.57423,0.34516,0.89739,0.94912,0.91639,0.95344,0.78799,0.68057,0.39727,0.90601,0.000140445,0.000140445,0.000140445
76,905.548,0.56501,0.3391,0.89336,0.94367,0.92345,0.95251,0.78103,0.71885,0.40391,0.92236,0.000119816,0.000119816,0.000119816
77,915.931,0.5558,0.3338,0.88473,0.94177,0.92396,0.95204,0.7893,0.68483,0.40003,0.90364,9.91865e-05,9.91865e-05,9.91865e-05
78,927.314,0.56115,0.33794,0.8912,0.93938,0.92863,0.95243,0.78915,0.69058,0.39807,0.90801,7.85574e-05,7.85574e-05,7.85574e-05
79,939.109,0.54871,0.32907,0.88693,0.95207,0.91872,0.95394,0.79272,0.68908,0.39677,0.90942,5.79283e-05,5.79283e-05,5.79283e-05
80,951.048,0.54469,0.32351,0.88359,0.95929,0.91435,0.95404,0.7931,0.68435,0.39479,0.90967,3.72991e-05,3.72991e-05,3.72991e-05
